# Nota: eF está en meV/nm (entonces V(z) está en meV).
# barrido: E_field de 0.0 a 4.0 meV/nm en pasos de 0.1 meV/nm
# columnas:
#  1: E_field_meV_por_nm
#  2: E0_meV   3: E1_meV   4: E2_meV   5: E3_meV
#  6: z10_nm   7: z20_nm   8: z30_nm   (elementos de dipolo ⟨1|z|0⟩, ⟨2|z|0⟩, ⟨3|z|0⟩)
#  9: abs_z10_nm  10: abs_z20_nm  11: abs_z30_nm
# ---------------------------------------------------------------
   3.000	   16.406924	   75.230846	  141.799611	  198.722640	  3.073827e+00	 -2.728294e-01	  1.106958e-01	  3.073827e+00	  2.728294e-01	  1.106958e-01
   3.100	   16.175648	   75.124739	  141.725258	  198.763303	  3.069920e+00	 -2.763485e-01	  1.100100e-01	  3.069920e+00	  2.763485e-01	  1.100100e-01
   3.200	   15.941160	   75.016793	  141.645821	  198.785105	  3.065993e+00	 -2.798138e-01	  1.092018e-01	  3.065993e+00	  2.798138e-01	  1.092018e-01
   3.300	   15.703476	   74.906999	  141.561315	  198.787926	  3.062048e+00	 -2.832238e-01	  1.082671e-01	  3.062048e+00	  2.832238e-01	  1.082671e-01
   3.400	   15.462611	   74.795344	  141.471753	  198.771423	  3.058086e+00	 -2.865769e-01	  1.071994e-01	  3.058086e+00	  2.865769e-01	  1.071994e-01
   3.500	   15.218578	   74.681816	  141.377146	  198.734947	  3.054108e+00	 -2.898717e-01	  1.059893e-01	  3.054108e+00	  2.898717e-01	  1.059893e-01
   3.600	   14.971393	   74.566404	  141.277505	  198.677420	  3.050117e+00	 -2.931065e-01	  1.046222e-01	  3.050117e+00	  2.931065e-01	  1.046222e-01
   3.700	   14.721071	   74.449095	  141.172836	  198.597153	  3.046113e+00	 -2.962801e-01	  1.030765e-01	  3.046113e+00	  2.962801e-01	  1.030765e-01
   3.800	   14.467627	   74.329874	  141.063145	  198.491555	  3.042099e+00	 -2.993909e-01	  1.013189e-01	  3.042099e+00	  2.993909e-01	  1.013189e-01
   3.900	   14.211075	   74.208729	  140.948437	  198.356655	  3.038075e+00	 -3.024376e-01	  9.929788e-02	  3.038075e+00	  3.024376e-01	  9.929788e-02
   4.000	   13.951431	   74.085646	  140.828714	  198.186306	  3.034043e+00	 -3.054186e-01	  9.693103e-02	  3.034043e+00	  3.054186e-01	  9.693103e-02
